"","Row","Col","Sample","Plate"
"86","E","11","E0235","E0151-E0246"
"87","F","11","E0236","E0151-E0246"
"88","G","11","E0237","E0151-E0246"
"89","H","11","E0238","E0151-E0246"
"90","A","12","E0239","E0151-E0246"
"91","B","12","E0240","E0151-E0246"
"92","C","12","E0241","E0151-E0246"
"93","D","12","E0242","E0151-E0246"
"94","E","12","E0243","E0151-E0246"
"95","F","12","E0244","E0151-E0246"
"96","G","12","E0245","E0151-E0246"
"97","H","12","E0246","E0151-E0246"
"98","A","1","E0247","E0247-E0342"
"99","B","1","E0248","E0247-E0342"
"100","C","1","E0249","E0247-E0342"
"101","D","1","E0250","E0247-E0342"
"102","E","1","E0251","E0247-E0342"
"103","F","1","E0252","E0247-E0342"
"104","G","1","E0253","E0247-E0342"
"105","H","1","E0254","E0247-E0342"
"106","A","2","E0255","E0247-E0342"
"107","B","2","E0256","E0247-E0342"
"108","C","2","E0257","E0247-E0342"
"109","D","2","E0258","E0247-E0342"
"110","E","2","E0259","E0247-E0342"
"111","F","2","E0260","E0247-E0342"
"112","G","2","E0261","E0247-E0342"
"113","H","2","E0262","E0247-E0342"
"114","A","3","E0263","E0247-E0342"
"115","B","3","E0264","E0247-E0342"
"116","C","3","E0265","E0247-E0342"
"117","D","3","E0266","E0247-E0342"
"118","E","3","E0267","E0247-E0342"
"119","F","3","E0268","E0247-E0342"
"120","G","3","E0269","E0247-E0342"
"121","H","3","E0270","E0247-E0342"
"122","A","4","E0271","E0247-E0342"
"123","B","4","E0272","E0247-E0342"
"124","C","4","E0273","E0247-E0342"
"125","D","4","E0274","E0247-E0342"
"126","E","4","E0275","E0247-E0342"
"127","F","4","E0276","E0247-E0342"
"128","G","4","E0277","E0247-E0342"
"129","H","4","E0278","E0247-E0342"
"130","A","5","E0279","E0247-E0342"
"131","B","5","E0280","E0247-E0342"
"132","C","5","E0281","E0247-E0342"
"133","D","5","E0282","E0247-E0342"
"134","E","5","E0283","E0247-E0342"
"135","F","5","E0284","E0247-E0342"
"136","G","5","E0285","E0247-E0342"
"137","H","5","E0286","E0247-E0342"
"138","A","6","E0287","E0247-E0342"
"139","B","6","E0288","E0247-E0342"
"140","C","6","E0289","E0247-E0342"
"141","D","6","E0290","E0247-E0342"
"142","E","6","E0291","E0247-E0342"
"143","F","6","E0292","E0247-E0342"
"144","G","6","E0293","E0247-E0342"
"145","H","6","E0294","E0247-E0342"
"146","A","7","E0295","E0247-E0342"
"147","B","7","E0296","E0247-E0342"
"148","C","7","E0297","E0247-E0342"
"149","D","7","E0298","E0247-E0342"
"150","E","7","E0299","E0247-E0342"
"151","F","7","E0300","E0247-E0342"
"152","G","7","E0301","E0247-E0342"
"153","H","7","E0302","E0247-E0342"
"154","A","8","E0303","E0247-E0342"
"155","B","8","E0304","E0247-E0342"
"156","C","8","E0305","E0247-E0342"
"157","D","8","E0306","E0247-E0342"
"158","E","8","E0307","E0247-E0342"
"159","F","8","E0308","E0247-E0342"
"160","G","8","E0309","E0247-E0342"
"161","H","8","E0310","E0247-E0342"
"162","A","9","E0311","E0247-E0342"
"163","B","9","E0312","E0247-E0342"
"164","C","9","E0313","E0247-E0342"
"165","D","9","E0314","E0247-E0342"
"166","E","9","E0315","E0247-E0342"
"167","F","9","E0316","E0247-E0342"
"168","G","9","E0317","E0247-E0342"
"169","H","9","E0318","E0247-E0342"
"170","A","10","E0319","E0247-E0342"
"171","B","10","E0320","E0247-E0342"
"172","C","10","E0321","E0247-E0342"
"173","D","10","E0322","E0247-E0342"
"174","E","10","E0323","E0247-E0342"
"175","F","10","E0324","E0247-E0342"
"176","G","10","E0325","E0247-E0342"
"177","H","10","E0326","E0247-E0342"
"178","A","11","E0327","E0247-E0342"
"179","B","11","E0328","E0247-E0342"
"180","C","11","E0329","E0247-E0342"
"181","D","11","E0330","E0247-E0342"
"182","E","11","E0331","E0247-E0342"
"183","F","11","E0332","E0247-E0342"
"184","G","11","E0333","E0247-E0342"
"185","H","11","E0334","E0247-E0342"
"186","A","12","E0335","E0247-E0342"
"187","B","12","E0336","E0247-E0342"
"188","C","12","E0337","E0247-E0342"
"189","D","12","E0338","E0247-E0342"
"190","E","12","E0339","E0247-E0342"
"191","F","12","E0340","E0247-E0342"
"192","G","12","E0341","E0247-E0342"
"193","H","12","E0342","E0247-E0342"
"194","A","1","E0343","E0343-E0438"
"195","B","1","E0344","E0343-E0438"
"196","C","1","E0345","E0343-E0438"
"197","D","1","E0346","E0343-E0438"
"198","E","1","E0347","E0343-E0438"
"199","F","1","E0348","E0343-E0438"
"200","G","1","E0349","E0343-E0438"
"201","H","1","E0350","E0343-E0438"
"202","A","2","E0351","E0343-E0438"
"203","B","2","E0352","E0343-E0438"
"204","C","2","E0353","E0343-E0438"
"205","D","2","E0354","E0343-E0438"
"206","E","2","E0355","E0343-E0438"
"207","F","2","E0356","E0343-E0438"
"208","G","2","E0357","E0343-E0438"
"209","H","2","E0358","E0343-E0438"
"210","A","3","E0359","E0343-E0438"
"211","B","3","E0360","E0343-E0438"
"212","C","3","E0361","E0343-E0438"
"213","D","3","E0362","E0343-E0438"
"214","E","3","E0363","E0343-E0438"
"215","F","3","E0364","E0343-E0438"
"216","G","3","E0365","E0343-E0438"
"217","H","3","E0366","E0343-E0438"
"218","A","4","E0367","E0343-E0438"
"219","B","4","E0368","E0343-E0438"
"220","C","4","E0369","E0343-E0438"
"221","D","4","E0370","E0343-E0438"
"222","E","4","E0371","E0343-E0438"
"223","F","4","E0372","E0343-E0438"
"224","G","4","E0373","E0343-E0438"
"225","H","4","E0374","E0343-E0438"
"226","A","5","E0375","E0343-E0438"
"227","B","5","E0376","E0343-E0438"
"228","C","5","E0377","E0343-E0438"
"229","D","5","E0378","E0343-E0438"
"230","E","5","E0379","E0343-E0438"
"231","F","5","E0380","E0343-E0438"
"232","G","5","E0381","E0343-E0438"
"233","H","5","E0382","E0343-E0438"
"234","A","6","E0383","E0343-E0438"
"235","B","6","E0384","E0343-E0438"
"236","C","6","E0385","E0343-E0438"
"237","D","6","E0386","E0343-E0438"
"238","E","6","E0387","E0343-E0438"
"239","F","6","E0388","E0343-E0438"
"240","G","6","E0389","E0343-E0438"
"241","H","6","E0390","E0343-E0438"
"242","A","7","E0391","E0343-E0438"
"243","B","7","E0392","E0343-E0438"
"244","C","7","E0393","E0343-E0438"
"245","D","7","E0394","E0343-E0438"
"246","E","7","E0395","E0343-E0438"
"247","F","7","E0396","E0343-E0438"
"248","G","7","E0397","E0343-E0438"
"249","H","7","E0398","E0343-E0438"
"250","A","8","E0399","E0343-E0438"
"251","B","8","E0400","E0343-E0438"
"252","C","8","E0401","E0343-E0438"
"253","D","8","E0402","E0343-E0438"
"254","E","8","E0403","E0343-E0438"
"255","F","8","E0404","E0343-E0438"
"256","G","8","E0405","E0343-E0438"
"257","H","8","E0406","E0343-E0438"
"258","A","9","E0407","E0343-E0438"
"259","B","9","E0408","E0343-E0438"
"260","C","9","E0409","E0343-E0438"
"261","D","9","E0410","E0343-E0438"
"262","E","9","E0411","E0343-E0438"
"263","F","9","E0412","E0343-E0438"
"264","G","9","E0413","E0343-E0438"
"265","H","9","E0414","E0343-E0438"
"266","A","10","E0415","E0343-E0438"
"267","B","10","E0416","E0343-E0438"
"268","C","10","E0417","E0343-E0438"
"269","D","10","E0418","E0343-E0438"
"270","E","10","E0419","E0343-E0438"
"271","F","10","E0420","E0343-E0438"
"272","G","10","E0421","E0343-E0438"
"273","H","10","E0422","E0343-E0438"
"274","A","11","E0423","E0343-E0438"
"275","B","11","E0424","E0343-E0438"
"276","C","11","E0425","E0343-E0438"
"277","D","11","E0426","E0343-E0438"
"278","E","11","E0427","E0343-E0438"
"279","F","11","E0428","E0343-E0438"
"280","G","11","E0429","E0343-E0438"
"281","H","11","E0430","E0343-E0438"
"282","A","12","E0431","E0343-E0438"
"283","B","12","E0432","E0343-E0438"
"284","C","12","E0433","E0343-E0438"
"285","D","12","E0434","E0343-E0438"
"286","E","12","E0435","E0343-E0438"
"287","F","12","E0436","E0343-E0438"
"288","G","12","E0437","E0343-E0438"
"289","H","12","E0438","E0343-E0438"
"290","A","1","E0439","E0439-E0534"
"291","B","1","E0440","E0439-E0534"
"292","C","1","E0441","E0439-E0534"
"293","D","1","E0442","E0439-E0534"
"294","E","1","E0443","E0439-E0534"
"295","F","1","E0444","E0439-E0534"
"296","G","1","E0445","E0439-E0534"
"297","H","1","E0446","E0439-E0534"
"298","A","2","E0447","E0439-E0534"
"299","B","2","E0448","E0439-E0534"
"300","C","2","E0449","E0439-E0534"
"301","D","2","E0450","E0439-E0534"
"302","E","2","E0451","E0439-E0534"
"303","F","2","E0452","E0439-E0534"
"304","G","2","E0453","E0439-E0534"
"305","H","2","E0454","E0439-E0534"
"306","A","3","E0455","E0439-E0534"
"307","B","3","E0456","E0439-E0534"
"308","C","3","E0457","E0439-E0534"
"309","D","3","E0458","E0439-E0534"
"310","E","3","E0459","E0439-E0534"
"311","F","3","E0460","E0439-E0534"
"312","G","3","E0461","E0439-E0534"
"313","H","3","E0462","E0439-E0534"
"314","A","4","E0463","E0439-E0534"
"315","B","4","E0464","E0439-E0534"
"316","C","4","E0465","E0439-E0534"
"317","D","4","E0466","E0439-E0534"
"318","E","4","E0467","E0439-E0534"
"319","F","4","E0468","E0439-E0534"
"320","G","4","E0469","E0439-E0534"
"321","H","4","E0470","E0439-E0534"
"322","A","5","E0471","E0439-E0534"
"323","B","5","E0472","E0439-E0534"
"324","C","5","E0473","E0439-E0534"
"325","D","5","E0474","E0439-E0534"
"326","E","5","E0475","E0439-E0534"
"327","F","5","E0476","E0439-E0534"
"328","G","5","E0477","E0439-E0534"
"329","H","5","E0478","E0439-E0534"
"330","A","6","E0479","E0439-E0534"
"331","B","6","E0480","E0439-E0534"
"332","C","6","E0481","E0439-E0534"
"333","D","6","E0482","E0439-E0534"
"334","E","6","E0483","E0439-E0534"
"335","F","6","E0484","E0439-E0534"
"336","G","6","E0485","E0439-E0534"
"337","H","6","E0486","E0439-E0534"
"338","A","7","E0487","E0439-E0534"
"339","B","7","E0488","E0439-E0534"
"340","C","7","E0489","E0439-E0534"
"341","D","7","E0490","E0439-E0534"
"342","E","7","E0491","E0439-E0534"
"343","F","7","E0492","E0439-E0534"
"344","G","7","E0493","E0439-E0534"
"345","H","7","E0494","E0439-E0534"
"346","A","8","E0495","E0439-E0534"
"347","B","8","E0496","E0439-E0534"
"348","C","8","E0497","E0439-E0534"
"349","D","8","E0498","E0439-E0534"
"350","E","8","E0499","E0439-E0534"
"351","F","8","E0500","E0439-E0534"
"352","G","8","E0501","E0439-E0534"
"353","H","8","E0502","E0439-E0534"
"354","A","9","E0503","E0439-E0534"
"355","B","9","E0504","E0439-E0534"
"356","C","9","E0505","E0439-E0534"
"357","D","9","E0506","E0439-E0534"
"358","E","9","E0507","E0439-E0534"
"359","F","9","E0508","E0439-E0534"
"360","G","9","E0509","E0439-E0534"
"361","H","9","E0510","E0439-E0534"
"362","A","10","E0511","E0439-E0534"
"363","B","10","E0512","E0439-E0534"
"364","C","10","E0513","E0439-E0534"
"365","D","10","E0514","E0439-E0534"
"366","E","10","E0515","E0439-E0534"
"367","F","10","E0516","E0439-E0534"
"368","G","10","E0517","E0439-E0534"
"369","H","10","E0518","E0439-E0534"
"370","A","11","E0519","E0439-E0534"
"371","B","11","E0520","E0439-E0534"
"372","C","11","E0521","E0439-E0534"
"373","D","11","E0522","E0439-E0534"
"374","E","11","E0523","E0439-E0534"
"375","F","11","E0524","E0439-E0534"
"376","G","11","E0525","E0439-E0534"
"377","H","11","E0526","E0439-E0534"
"378","A","12","E0527","E0439-E0534"
"379","B","12","E0528","E0439-E0534"
"380","C","12","E0529","E0439-E0534"
"381","D","12","E0530","E0439-E0534"
"382","E","12","E0531","E0439-E0534"
"383","F","12","E0532","E0439-E0534"
"384","G","12","E0533","E0439-E0534"
"385","H","12","E0534","E0439-E0534"
"386","A","1","E0535","E0535-E0630"
"387","B","1","E0536","E0535-E0630"
"388","C","1","E0537","E0535-E0630"
"389","D","1","E0538","E0535-E0630"
"390","E","1","E0539","E0535-E0630"
"391","F","1","E0540","E0535-E0630"
"392","G","1","E0541","E0535-E0630"
"393","H","1","E0542","E0535-E0630"
"394","A","2","E0543","E0535-E0630"
"395","B","2","E0544","E0535-E0630"
"396","C","2","E0545","E0535-E0630"
"397","D","2","E0546","E0535-E0630"
"398","E","2","E0547","E0535-E0630"
"399","F","2","E0548","E0535-E0630"
"400","G","2","E0549","E0535-E0630"
"401","H","2","E0550","E0535-E0630"
"402","A","3","E0551","E0535-E0630"
"403","B","3","E0552","E0535-E0630"
"404","C","3","E0553","E0535-E0630"
"405","D","3","E0554","E0535-E0630"
"406","E","3","E0555","E0535-E0630"
"407","F","3","E0556","E0535-E0630"
"408","G","3","E0557","E0535-E0630"
"409","H","3","E0558","E0535-E0630"
"410","A","4","E0559","E0535-E0630"
"411","B","4","E0560","E0535-E0630"
"412","C","4","E0561","E0535-E0630"
"413","D","4","E0562","E0535-E0630"
"414","E","4","E0563","E0535-E0630"
"415","F","4","E0564","E0535-E0630"
"416","G","4","E0565","E0535-E0630"
"417","H","4","E0566","E0535-E0630"
"418","A","5","E0567","E0535-E0630"
"419","B","5","E0568","E0535-E0630"
"420","C","5","E0569","E0535-E0630"
"421","D","5","E0570","E0535-E0630"
"422","E","5","E0571","E0535-E0630"
"423","F","5","E0572","E0535-E0630"
"424","G","5","E0573","E0535-E0630"
"425","H","5","E0574","E0535-E0630"
"426","A","6","E0575","E0535-E0630"
"427","B","6","E0576","E0535-E0630"
"428","C","6","E0577","E0535-E0630"
"429","D","6","E0578","E0535-E0630"
"430","E","6","E0579","E0535-E0630"
"431","F","6","E0580","E0535-E0630"
"432","G","6","E0581","E0535-E0630"
"433","H","6","E0582","E0535-E0630"
"434","A","7","E0583","E0535-E0630"
"435","B","7","E0584","E0535-E0630"
"436","C","7","E0585","E0535-E0630"
"437","D","7","E0586","E0535-E0630"
"438","E","7","E0587","E0535-E0630"
"439","F","7","E0588","E0535-E0630"
"440","G","7","E0589","E0535-E0630"
"441","H","7","E0590","E0535-E0630"
"442","A","8","E0591","E0535-E0630"
"443","B","8","E0592","E0535-E0630"
"444","C","8","E0593","E0535-E0630"
"445","D","8","E0594","E0535-E0630"
"446","E","8","E0595","E0535-E0630"
"447","F","8","E0596","E0535-E0630"
"448","G","8","E0597","E0535-E0630"
"449","H","8","E0598","E0535-E0630"
"450","A","9","E0599","E0535-E0630"
"451","B","9","E0600","E0535-E0630"
"452","C","9","E0601","E0535-E0630"
"453","D","9","E0602","E0535-E0630"
"454","E","9","E0603","E0535-E0630"
"455","F","9","E0604","E0535-E0630"
"456","G","9","E0605","E0535-E0630"
"457","H","9","E0606","E0535-E0630"
"458","A","10","E0607","E0535-E0630"
"459","B","10","E0608","E0535-E0630"
"460","C","10","E0609","E0535-E0630"
"461","D","10","E0610","E0535-E0630"
"462","E","10","E0611","E0535-E0630"
"463","F","10","E0612","E0535-E0630"
"464","G","10","E0613","E0535-E0630"
"465","H","10","E0614","E0535-E0630"
"466","A","11","E0615","E0535-E0630"
"467","B","11","E0616","E0535-E0630"
"468","C","11","E0617","E0535-E0630"
"469","D","11","E0618","E0535-E0630"
"470","E","11","E0619","E0535-E0630"
"471","F","11","E0620","E0535-E0630"
"472","G","11","E0621","E0535-E0630"
"473","H","11","E0622","E0535-E0630"
"474","A","12","E0623","E0535-E0630"
"475","B","12","E0624","E0535-E0630"
"476","C","12","E0625","E0535-E0630"
"477","D","12","E0626","E0535-E0630"
"478","E","12","E0627","E0535-E0630"
"479","F","12","E0628","E0535-E0630"
"480","G","12","E0629","E0535-E0630"
"481","H","12","E0630","E0535-E0630"
"482","A","1","E0631","E0631-E0726"
"483","B","1","E0632","E0631-E0726"
"484","C","1","E0633","E0631-E0726"
"485","D","1","E0634","E0631-E0726"
"486","E","1","E0635","E0631-E0726"
"487","F","1","E0636","E0631-E0726"
"488","G","1","E0637","E0631-E0726"
"489","H","1","E0638","E0631-E0726"
"490","A","2","E0639","E0631-E0726"
"491","B","2","E0640","E0631-E0726"
"492","C","2","E0641","E0631-E0726"
"493","D","2","E0642","E0631-E0726"
"494","E","2","E0643","E0631-E0726"
"495","F","2","E0644","E0631-E0726"
"496","G","2","E0645","E0631-E0726"
"497","H","2","E0646","E0631-E0726"
"498","A","3","E0647","E0631-E0726"
"499","B","3","E0648","E0631-E0726"
"500","C","3","E0649","E0631-E0726"
"501","D","3","E0650","E0631-E0726"
"502","E","3","E0651","E0631-E0726"
"503","F","3","E0652","E0631-E0726"
"504","G","3","E0653","E0631-E0726"
"505","H","3","E0654","E0631-E0726"
"506","A","4","E0655","E0631-E0726"
"507","B","4","E0656","E0631-E0726"
"508","C","4","E0657","E0631-E0726"
"509","D","4","E0658","E0631-E0726"
"510","E","4","E0659","E0631-E0726"
"511","F","4","E0660","E0631-E0726"
"512","G","4","E0661","E0631-E0726"
"513","H","4","E0662","E0631-E0726"
"514","A","5","E0663","E0631-E0726"
"515","B","5","E0664","E0631-E0726"
"516","C","5","E0665","E0631-E0726"
"517","D","5","E0666","E0631-E0726"
"518","E","5","E0667","E0631-E0726"
"519","F","5","E0668","E0631-E0726"
"520","G","5","E0669","E0631-E0726"
"521","H","5","E0670","E0631-E0726"
"522","A","6","E0671","E0631-E0726"
"523","B","6","E0672","E0631-E0726"
"524","C","6","E0673","E0631-E0726"
"525","D","6","E0674","E0631-E0726"
"526","E","6","E0675","E0631-E0726"
"527","F","6","E0676","E0631-E0726"
"528","G","6","E0677","E0631-E0726"
"529","H","6","E0678","E0631-E0726"
"530","A","7","E0679","E0631-E0726"
"531","B","7","E0680","E0631-E0726"
"532","C","7","E0681","E0631-E0726"
"533","D","7","E0682","E0631-E0726"
"534","E","7","E0683","E0631-E0726"
"535","F","7","E0684","E0631-E0726"
"536","G","7","E0685","E0631-E0726"
"537","H","7","E0686","E0631-E0726"
"538","A","8","E0687","E0631-E0726"
"539","B","8","E0688","E0631-E0726"
"540","C","8","E0689","E0631-E0726"
"541","D","8","E0690","E0631-E0726"
"542","E","8","E0691","E0631-E0726"
"543","F","8","E0692","E0631-E0726"
"544","G","8","E0693","E0631-E0726"
"545","H","8","E0694","E0631-E0726"
"546","A","9","E0695","E0631-E0726"
"547","B","9","E0696","E0631-E0726"
"548","C","9","E0697","E0631-E0726"
"549","D","9","E0698","E0631-E0726"
"550","E","9","E0699","E0631-E0726"
"551","F","9","E0700","E0631-E0726"
"552","G","9","E0701","E0631-E0726"
"553","H","9","E0702","E0631-E0726"
"554","A","10","E0703","E0631-E0726"
"555","B","10","E0704","E0631-E0726"
"556","C","10","E0705","E0631-E0726"
"557","D","10","E0706","E0631-E0726"
"558","E","10","E0707","E0631-E0726"
"559","F","10","E0708","E0631-E0726"
"560","G","10","E0709","E0631-E0726"
"561","H","10","E0710","E0631-E0726"
"562","A","11","E0711","E0631-E0726"
"563","B","11","E0712","E0631-E0726"
"564","C","11","E0713","E0631-E0726"
"565","D","11","E0714","E0631-E0726"
"566","E","11","E0715","E0631-E0726"
"567","F","11","E0716","E0631-E0726"
"568","G","11","E0717","E0631-E0726"
"569","H","11","E0718","E0631-E0726"
"570","A","12","E0719","E0631-E0726"
"571","B","12","E0720","E0631-E0726"
"572","C","12","E0721","E0631-E0726"
"573","D","12","E0722","E0631-E0726"
"574","E","12","E0723","E0631-E0726"
"575","F","12","E0724","E0631-E0726"
"576","G","12","E0725","E0631-E0726"
"577","H","12","E0726","E0631-E0726"
"578","A","1","E0727","E0727-E0822"
"579","B","1","E0728","E0727-E0822"
"580","C","1","E0729","E0727-E0822"
"581","D","1","E0730","E0727-E0822"
"582","E","1","E0731","E0727-E0822"
"583","F","1","E0732","E0727-E0822"
"584","G","1","E0733","E0727-E0822"
"585","H","1","E0734","E0727-E0822"
"586","A","2","E0735","E0727-E0822"
"587","B","2","E0736","E0727-E0822"
"588","C","2","E0737","E0727-E0822"
"589","D","2","E0738","E0727-E0822"
"590","E","2","E0739","E0727-E0822"
"591","F","2","E0740","E0727-E0822"
"592","G","2","E0741","E0727-E0822"
"593","H","2","E0742","E0727-E0822"
"594","A","3","E0743","E0727-E0822"
"595","B","3","E0744","E0727-E0822"
"596","C","3","E0745","E0727-E0822"
"597","D","3","E0746","E0727-E0822"
"598","E","3","E0747","E0727-E0822"
"599","F","3","E0748","E0727-E0822"
"600","G","3","E0749","E0727-E0822"
"601","H","3","E0750","E0727-E0822"
"602","A","4","E0751","E0727-E0822"
"603","B","4","E0752","E0727-E0822"
"604","C","4","E0753","E0727-E0822"
"605","D","4","E0754","E0727-E0822"
"606","E","4","E0755","E0727-E0822"
"607","F","4","E0756","E0727-E0822"
"608","G","4","E0757","E0727-E0822"
"609","H","4","E0758","E0727-E0822"
"610","A","5","E0759","E0727-E0822"
"611","B","5","E0760","E0727-E0822"
"612","C","5","E0761","E0727-E0822"
"613","D","5","E0762","E0727-E0822"
"614","E","5","E0763","E0727-E0822"
"615","F","5","E0764","E0727-E0822"
"616","G","5","E0765","E0727-E0822"
"617","H","5","E0766","E0727-E0822"
"618","A","6","E0767","E0727-E0822"
"619","B","6","E0768","E0727-E0822"
"620","C","6","E0769","E0727-E0822"
"621","D","6","E0770","E0727-E0822"
"622","E","6","E0771","E0727-E0822"
"623","F","6","E0772","E0727-E0822"
"624","G","6","E0773","E0727-E0822"
"625","H","6","E0774","E0727-E0822"
"626","A","7","E0775","E0727-E0822"
"627","B","7","E0776","E0727-E0822"
"628","C","7","E0777","E0727-E0822"
"629","D","7","E0778","E0727-E0822"
"630","E","7","E0779","E0727-E0822"
"631","F","7","E0780","E0727-E0822"
"632","G","7","E0781","E0727-E0822"
"633","H","7","E0782","E0727-E0822"
"634","A","8","E0783","E0727-E0822"
"635","B","8","E0784","E0727-E0822"
"636","C","8","E0785","E0727-E0822"
"637","D","8","E0786","E0727-E0822"
"638","E","8","E0787","E0727-E0822"
"639","F","8","E0788","E0727-E0822"
"640","G","8","E0789","E0727-E0822"
"641","H","8","E0790","E0727-E0822"
"642","A","9","E0791","E0727-E0822"
"643","B","9","E0792","E0727-E0822"
"644","C","9","E0793","E0727-E0822"
"645","D","9","E0794","E0727-E0822"
"646","E","9","E0795","E0727-E0822"
"647","F","9","E0796","E0727-E0822"
"648","G","9","E0797","E0727-E0822"
"649","H","9","E0798","E0727-E0822"
"650","A","10","E0799","E0727-E0822"
"651","B","10","E0800","E0727-E0822"
"652","C","10","E0801","E0727-E0822"
"653","D","10","E0802","E0727-E0822"
"654","E","10","E0803","E0727-E0822"
"655","F","10","E0804","E0727-E0822"
"656","G","10","E0805","E0727-E0822"
"657","H","10","E0806","E0727-E0822"
"658","A","11","E0807","E0727-E0822"
"659","B","11","E0808","E0727-E0822"
"660","C","11","E0809","E0727-E0822"
"661","D","11","E0810","E0727-E0822"
"662","E","11","E0811","E0727-E0822"
"663","F","11","E0812","E0727-E0822"
"664","G","11","E0813","E0727-E0822"
"665","H","11","E0814","E0727-E0822"
"666","A","12","E0815","E0727-E0822"
"667","B","12","E0816","E0727-E0822"
"668","C","12","E0817","E0727-E0822"
"669","D","12","E0818","E0727-E0822"
"670","E","12","E0819","E0727-E0822"
"671","F","12","E0820","E0727-E0822"
"672","G","12","E0821","E0727-E0822"
"673","H","12","E0822","E0727-E0822"
"674","A","1","E0823","E0823-E0918"
"675","B","1","E0824","E0823-E0918"
"676","C","1","E0825","E0823-E0918"
"677","D","1","E0826","E0823-E0918"
"678","E","1","E0827","E0823-E0918"
"679","F","1","E0828","E0823-E0918"
"680","G","1","E0829","E0823-E0918"
"681","H","1","E0830","E0823-E0918"
"682","A","2","E0831","E0823-E0918"
"683","B","2","E0832","E0823-E0918"
"684","C","2","E0833","E0823-E0918"
"685","D","2","E0834","E0823-E0918"
"686","E","2","E0835","E0823-E0918"
"687","F","2","E0836","E0823-E0918"
"688","G","2","E0837","E0823-E0918"
"689","H","2","E0838","E0823-E0918"
"690","A","3","E0839","E0823-E0918"
"691","B","3","E0840","E0823-E0918"
"692","C","3","E0841","E0823-E0918"
"693","D","3","E0842","E0823-E0918"
"694","E","3","E0843","E0823-E0918"
"695","F","3","E0844","E0823-E0918"
"696","G","3","E0845","E0823-E0918"
"697","H","3","E0846","E0823-E0918"
"698","A","4","E0847","E0823-E0918"
"699","B","4","E0848","E0823-E0918"
