"","digest_id","extraction_id.x","sample_id","ligation_id","date","quant","notes","enzymes","DNA","vol_in"
"104","D2821","E2463","APCL15_121",NA,"2016-03-05",3.842,"","PstI_MluCI",NA,39.0421655387819
"105","D2749","E2391","APCL15_405042",NA,"2016-03-05",3.872,"","PstI_MluCI",NA,38.7396694214876
"106","D2940","E2582","APCL15_076",NA,"2016-04-04",3.978,"","PstI_MluCI",NA,37.7073906485671
"107","D3312","E2975","APCL16_008",NA,"2016-09-18",3.982,NA,"PstI_MluCI",NA,37.6695128076344
"108","D3088","E2826","APCL15_405360",NA,"2016-04-04",4.055,"","PstI_MluCI",NA,36.9913686806412
"109","D2804","E2446","APCL15_372347",NA,"2016-03-05",4.12,"","PstI_MluCI",NA,36.4077669902913
"110","D2758","E2400","APCL15_401889",NA,"2016-03-05",4.222,"","PstI_MluCI",NA,35.5281856939839
"111","D3148","E2858","APCL15_371463",NA,"2016-04-25",4.291,"","PstI_MluCI",NA,34.9568865066418
"112","D3315","E2978","APCL16_011",NA,"2016-09-18",4.35,NA,"PstI_MluCI",NA,34.4827586206897
"113","D3311","E2974","APCL16_007",NA,"2016-09-18",4.373,NA,"PstI_MluCI",NA,34.3013949233936
"114","D3145","E2855","APCL15_375493",NA,"2016-04-25",4.463,"","PstI_MluCI",NA,33.6096795877213
"115","D2918","E2560","APCL15_370033",NA,"2016-04-04",4.481,"","PstI_MluCI",NA,33.4746708324035
"116","D2912","E2554","APCL15_090",NA,"2016-04-04",4.505,"","PstI_MluCI",NA,33.2963374028857
"117","D2757","E2399","APCL15_402307",NA,"2016-03-05",4.534,"","PstI_MluCI",NA,33.0833700926334
"118","D2801","E2443","APCL15_118",NA,"2016-03-05",4.584,"","PstI_MluCI",NA,32.7225130890052
"119","D2988","E2630","APCL15_369712",NA,"2016-04-04",4.745,"","PstI_MluCI",NA,31.6122233930453
"120","D2803","E2445","APCL15_117",NA,"2016-03-05",4.749,"","PstI_MluCI",NA,31.5855969677827
"121","D2833","E2475","APCL15_100",NA,"2016-03-05",4.785,"","PstI_MluCI",NA,31.3479623824451
"122","D2732","E2374","APCL15_138",NA,"2016-03-05",4.804,"","PstI_MluCI",NA,31.2239800166528
"123","D2783","E2425","APCL15_123",NA,"2016-03-05",4.91,"","PstI_MluCI",NA,30.5498981670061
"124","D3084","E2822","APCL15_403566",NA,"2016-04-04",5.007,"","PstI_MluCI",NA,29.9580587177951
"125","D3314","E2977","APCL16_010",NA,"2016-09-18",5.03,NA,"PstI_MluCI",NA,29.8210735586481
"126","D2905","E2547","APCL15_370326",NA,"2016-04-04",5.051,"","PstI_MluCI",NA,29.6970896852108
"127","D2888","E2530","APCL15_077",NA,"2016-03-05",5.084,"","PstI_MluCI",NA,29.5043273013375
"128","D3133","E2843","APCL15_374248",NA,"2016-04-25",5.128,"","PstI_MluCI",NA,29.2511700468019
"129","D2981","E2623","APCL15_405197",NA,"2016-04-04",5.175,"","PstI_MluCI",NA,28.9855072463768
"130","D2877","E2519","APCL15_084",NA,"2016-03-05",5.23,"","PstI_MluCI",NA,28.6806883365201
"131","D2948","E2590","APCL15_072",NA,"2016-04-04",5.234,"","PstI_MluCI",NA,28.6587695834925
"132","D2970","E2612","APCL15_370215",NA,"2016-04-04",5.3,"","PstI_MluCI",NA,28.3018867924528
"133","D2772","E2414","APCL15_128",NA,"2016-03-05",5.304,"","PstI_MluCI",NA,28.2805429864253
"134","D2928","E2570","APCL15_356778",NA,"2016-04-04",5.403,"","PstI_MluCI",NA,27.7623542476402
"135","D2841","E2483","APCL15_104",NA,"2016-03-05",5.412,"","PstI_MluCI",NA,27.7161862527716
"136","D2930","E2572","APCL15_355518",NA,"2016-04-04",5.415,"","PstI_MluCI",NA,27.7008310249307
"137","D2993","E2635","APCL15_376036",NA,"2016-04-04",5.463,"","PstI_MluCI",NA,27.4574409665019
"138","D3156","E2878","APCL15_403855",NA,"2016-04-25",5.548,"","PstI_MluCI",NA,27.0367700072098
"139","D2938","E2580","APCL15_039",NA,"2016-04-04",5.557,"","PstI_MluCI",NA,26.9929818247256
"140","D2956","E2598","APCL15_043",NA,"2016-04-04",5.603,"","PstI_MluCI",NA,26.7713724790291
"141","D3302","E2757","APCL15_405940",NA,"2016-09-18",5.745,NA,"PstI_MluCI",NA,26.1096605744125
"142","D3296","E2617","APCL15_355704",NA,"2016-09-18",6.685,NA,"PstI_MluCI",NA,22.4382946896036
"143","D3303","E0792","APCL14_007",NA,"2016-09-18",6.748,NA,"PstI_MluCI",NA,22.2288085358625
"144","D3335","E2999","APCL16_031",NA,"2016-09-18",7.885,NA,"PstI_MluCI",NA,19.0234622701332
"145","D3262","E0924","APCL14_157",NA,"2016-09-18",8.14,NA,"PstI_MluCI",NA,18.4275184275184
"146","D3288","E1866","APCL12_202",NA,"2016-09-18",8.191,NA,"PstI_MluCI",NA,18.3127823220608
"147","D3280","E0931","APCL14_164",NA,"2016-09-18",8.288,NA,"PstI_MluCI",NA,18.0984555984556
"148","D3283","E0928","APCL14_161",NA,"2016-09-18",8.429,NA,"PstI_MluCI",NA,17.7957053031202
"149","D2553","E1793","APCL12_128",NA,"2015-12-04",8.691,"","PstI_MluCI",NA,17.2592336900242
"150","D3275","E1394","APCL14_555",NA,"2016-09-18",8.905,NA,"PstI_MluCI",NA,16.8444693992139
"151","D3263","E1218","APCL14_357",NA,"2016-09-18",8.938,NA,"PstI_MluCI",NA,16.7822779145223
"152","D3274","E1382","APCL14_543",NA,"2016-09-18",9.402,NA,"PstI_MluCI",NA,15.9540523292916
"153","D3310","E2973","APCL16_006",NA,"2016-09-18",9.482,NA,"PstI_MluCI",NA,15.8194473739717
"154","D3322","E2986","APCL16_018",NA,"2016-09-18",9.545,NA,"PstI_MluCI",NA,15.7150340492404
"155","D3317","E2981","APCL16_013",NA,"2016-09-18",9.663,NA,"PstI_MluCI",NA,15.5231294628997
"156","D3323","E2987","APCL16_019",NA,"2016-09-18",9.676,NA,"PstI_MluCI",NA,15.5022736668045
"157","D3284","E1297","APCL14_436",NA,"2016-09-18",9.851,NA,"PstI_MluCI",NA,15.2268805197442
"158","D3272","E0867","APCL14_088",NA,"2016-09-18",10.318,NA,"PstI_MluCI",NA,14.5377011048653
"159","D3316","E2980","APCL16_012",NA,"2016-09-18",10.704,NA,"PstI_MluCI",NA,14.0134529147982
"160","D3320","E2984","APCL16_016",NA,"2016-09-18",10.87,NA,"PstI_MluCI",NA,13.7994480220791
"161","D3308","E2971","APCL16_004",NA,"2016-09-18",11.243,NA,"PstI_MluCI",NA,13.3416347949835
"162","D3297","E2632","APCL15_403215",NA,"2016-09-18",11.663,NA,"PstI_MluCI",NA,12.8611849438395
"163","D3304","E2852","APCL15_371404",NA,"2016-09-18",12.155,NA,"PstI_MluCI",NA,12.3406005758947
"164","D3319","E2983","APCL16_015",NA,"2016-09-18",12.307,NA,"PstI_MluCI",NA,12.1881855854392
"165","D3318","E2982","APCL16_014",NA,"2016-09-18",13.581,NA,"PstI_MluCI",NA,11.0448420587586
"166","D3287","E1350","APCL14_511",NA,"2016-09-18",13.637,NA,"PstI_MluCI",NA,10.9994866906211
"167","D3294","E2538","APCL15_369558",NA,"2016-09-18",13.643,NA,"PstI_MluCI",NA,10.9946492706883
"168","D3295","E2588","APCL15_402724",NA,"2016-09-18",14.101,NA,"PstI_MluCI",NA,10.6375434366357
"169","D3261","E1488","APCL14_455",NA,"2016-09-18",14.842,NA,"PstI_MluCI",NA,10.1064546557068
"170","D3298","E2851","APCL15_372744",NA,"2016-09-18",15.933,NA,"PstI_MluCI",NA,9.41442289587648
"171","D3254","E1108","APCL14_343",NA,"2016-09-18",17.473,NA,"PstI_MluCI",NA,8.58467349625136
"172","D3321","E2985","APCL16_017",NA,"2016-09-18",18.146,NA,"PstI_MluCI",NA,8.26628458062383
"173","D3333","E2997","APCL16_029",NA,"2016-09-18",18.219,NA,"PstI_MluCI",NA,8.23316318129425
"174","D3253","E1095","APCL14_330",NA,"2016-09-18",18.647,NA,"PstI_MluCI",NA,8.04418941384673
"175","D3273","E1483","APCL14_450",NA,"2016-09-18",19.058,NA,"PstI_MluCI",NA,7.87071046279778
"176","D3338","E3002","APCL16_034",NA,"2016-09-18",19.157,NA,"PstI_MluCI",NA,7.83003601816568
"177","D3307","E2970","APCL16_003",NA,"2016-09-18",22.724,NA,"PstI_MluCI",NA,6.60095053687731
"178","D3331","E2995","APCL16_027",NA,"2016-09-18",23.898,NA,"PstI_MluCI",NA,6.27667587245795
"179","D3327","E2991","APCL16_023",NA,"2016-09-18",24.535,NA,"PstI_MluCI",NA,6.1137151008763
"180","D3313","E2976","APCL16_009",NA,"2016-09-18",26.526,NA,"PstI_MluCI",NA,5.65482922415743
"181","D3299","E2931","APCL15_373943",NA,"2016-09-18",26.787,NA,"PstI_MluCI",NA,5.59973121290178
"182","D3306","E2969","APCL16_002",NA,"2016-09-18",31.975,NA,"PstI_MluCI",NA,4.69116497263487
"183","D3325","E2989","APCL16_021",NA,"2016-09-18",32.191,NA,"PstI_MluCI",NA,4.65968749029232
"184","D3258","E1245","APCL14_384",NA,"2016-09-18",36.073,NA,"PstI_MluCI",NA,4.15823469076595
"185","D3330","E2994","APCL16_026",NA,"2016-09-18",36.478,NA,"PstI_MluCI",NA,4.11206754756291
