"","Row","Col","Sample","Plate"
"3742","E","12","D1320","D1228-D1323"
"3743","F","12","D1321","D1228-D1323"
"3744","G","12","D1322","D1228-D1323"
"3745","H","12","D1323","D1228-D1323"
"3746","SbfI","1","D1324","D1324-D1354"
"3747","PstI","1","D1325","D1324-D1354"
"3748","EcoRI","1","D1326","D1324-D1354"
"3749","MluCI","1","D1327","D1324-D1354"
"3750","SbfI_EcoRI","1","D1328","D1324-D1354"
"3751","SbfI_MluCI","1","D1329","D1324-D1354"
"3752","PstI_EcoRI","1","D1330","D1324-D1354"
"3753","PstI_MluCI","1","D1331","D1324-D1354"
"3754","SbfI","2","D1332","D1324-D1354"
"3755","PstI","2","D1333","D1324-D1354"
"3756","EcoRI","2","D1334","D1324-D1354"
"3757","MluCI","2","D1335","D1324-D1354"
"3758","SbfI_EcoRI","2","D1336","D1324-D1354"
"3759","SbfI_MluCI","2","D1337","D1324-D1354"
"3760","PstI_EcoRI","2","D1338","D1324-D1354"
"3761","PstI_MluCI","2","D1339","D1324-D1354"
"3762","SbfI","3","D1340","D1324-D1354"
"3763","PstI","3","D1341","D1324-D1354"
"3764","EcoRI","3","D1342","D1324-D1354"
"3765","MluCI","3","D1343","D1324-D1354"
"3766","SbfI_EcoRI","3","D1344","D1324-D1354"
"3767","SbfI_MluCI","3","D1345","D1324-D1354"
"3768","PstI_EcoRI","3","D1346","D1324-D1354"
"3769","PstI_MluCI","3","D1347","D1324-D1354"
"3770","SbfI","4","D1348","D1324-D1354"
"3771","PstI","4","D1349","D1324-D1354"
"3773","MluCI","4","D1350","D1324-D1354"
"3777","PstI_MluCI","4","D1351","D1324-D1354"
"3779","PstI","5","D1352","D1324-D1354"
"3781","MluCI","5","D1353","D1324-D1354"
"3785","PstI_MluCI","5","D1354","D1324-D1354"
"3842","A","1","D1355","D1355-D1450"
"3843","B","1","D1356","D1355-D1450"
"3844","C","1","D1357","D1355-D1450"
"3845","D","1","D1358","D1355-D1450"
"3846","E","1","D1359","D1355-D1450"
"3847","F","1","D1360","D1355-D1450"
"3848","G","1","D1361","D1355-D1450"
"3849","H","1","D1362","D1355-D1450"
"3850","A","2","D1363","D1355-D1450"
"3851","B","2","D1364","D1355-D1450"
"3852","C","2","D1365","D1355-D1450"
"3853","D","2","D1366","D1355-D1450"
"3854","E","2","D1367","D1355-D1450"
"3855","F","2","D1368","D1355-D1450"
"3856","G","2","D1369","D1355-D1450"
"3857","H","2","D1370","D1355-D1450"
"3858","A","3","D1371","D1355-D1450"
"3859","B","3","D1372","D1355-D1450"
"3860","C","3","D1373","D1355-D1450"
"3861","D","3","D1374","D1355-D1450"
"3862","E","3","D1375","D1355-D1450"
"3863","F","3","D1376","D1355-D1450"
"3864","G","3","D1377","D1355-D1450"
"3865","H","3","D1378","D1355-D1450"
"3866","A","4","D1379","D1355-D1450"
"3867","B","4","D1380","D1355-D1450"
"3868","C","4","D1381","D1355-D1450"
"3869","D","4","D1382","D1355-D1450"
"3870","E","4","D1383","D1355-D1450"
"3871","F","4","D1384","D1355-D1450"
"3872","G","4","D1385","D1355-D1450"
"3873","H","4","D1386","D1355-D1450"
"3874","A","5","D1387","D1355-D1450"
"3875","B","5","D1388","D1355-D1450"
"3876","C","5","D1389","D1355-D1450"
"3877","D","5","D1390","D1355-D1450"
"3878","E","5","D1391","D1355-D1450"
"3879","F","5","D1392","D1355-D1450"
"3880","G","5","D1393","D1355-D1450"
"3881","H","5","D1394","D1355-D1450"
"3882","A","6","D1395","D1355-D1450"
"3883","B","6","D1396","D1355-D1450"
"3884","C","6","D1397","D1355-D1450"
"3885","D","6","D1398","D1355-D1450"
"3886","E","6","D1399","D1355-D1450"
"3887","F","6","D1400","D1355-D1450"
"3888","G","6","D1401","D1355-D1450"
"3889","H","6","D1402","D1355-D1450"
"3890","A","7","D1403","D1355-D1450"
"3891","B","7","D1404","D1355-D1450"
"3892","C","7","D1405","D1355-D1450"
"3893","D","7","D1406","D1355-D1450"
"3894","E","7","D1407","D1355-D1450"
"3895","F","7","D1408","D1355-D1450"
"3896","G","7","D1409","D1355-D1450"
"3897","H","7","D1410","D1355-D1450"
"3898","A","8","D1411","D1355-D1450"
"3899","B","8","D1412","D1355-D1450"
"3900","C","8","D1413","D1355-D1450"
"3901","D","8","D1414","D1355-D1450"
"3902","E","8","D1415","D1355-D1450"
"3903","F","8","D1416","D1355-D1450"
"3904","G","8","D1417","D1355-D1450"
"3905","H","8","D1418","D1355-D1450"
"3906","A","9","D1419","D1355-D1450"
"3907","B","9","D1420","D1355-D1450"
"3908","C","9","D1421","D1355-D1450"
"3909","D","9","D1422","D1355-D1450"
"3910","E","9","D1423","D1355-D1450"
"3911","F","9","D1424","D1355-D1450"
"3912","G","9","D1425","D1355-D1450"
"3913","H","9","D1426","D1355-D1450"
"3914","A","10","D1427","D1355-D1450"
"3915","B","10","D1428","D1355-D1450"
"3916","C","10","D1429","D1355-D1450"
"3917","D","10","D1430","D1355-D1450"
"3918","E","10","D1431","D1355-D1450"
"3919","F","10","D1432","D1355-D1450"
"3920","G","10","D1433","D1355-D1450"
"3921","H","10","D1434","D1355-D1450"
"3922","A","11","D1435","D1355-D1450"
"3923","B","11","D1436","D1355-D1450"
"3924","C","11","D1437","D1355-D1450"
"3925","D","11","D1438","D1355-D1450"
"3926","E","11","D1439","D1355-D1450"
"3927","F","11","D1440","D1355-D1450"
"3928","G","11","D1441","D1355-D1450"
"3929","H","11","D1442","D1355-D1450"
"3930","A","12","D1443","D1355-D1450"
"3931","B","12","D1444","D1355-D1450"
"3932","C","12","D1445","D1355-D1450"
"3933","D","12","D1446","D1355-D1450"
"3934","E","12","D1447","D1355-D1450"
