"digest_id","extraction_id","date","vol_in","ng_in","enzymes","final_vol","quant","DNA_ng","well","plate","notes","correction","corr_message","corr_editor","corr_date"
"D2700","E2350","2015-12-04",30,499,"PstI_MluCI",40,1.473,0.059,"F12","D2607-D2702","","","","","0000-00-00"
"D2701","E2351","2015-12-04",30,4362,"PstI_MluCI",40,32.195,1.288,"G12","D2607-D2702","","","","","0000-00-00"
"D2702","E2352","2015-12-04",30,878,"PstI_MluCI",40,1.234,0.049,"H12","D2607-D2702","","","","","0000-00-00"
"D2703","XXXX","2015-12-01",30,0,"PstI_EcoRI",40,0,0,"A4","D2487-D2703","quant = -0.31, not possiBle, changed to 0","","","","0000-00-00"
"D2704","E1813","2015-12-10",30,229,"PstI_MluCI",40,1.184,0.047,"A1","D2704-D2711","","","","","0000-00-00"
"D2705","E1842","2015-12-10",30,178,"PstI_MluCI",40,0.984,0.039,"B1","D2704-D2711","","","","","0000-00-00"
"D2706","E1844","2015-12-10",30,501,"PstI_MluCI",40,1.002,0.04,"C1","D2704-D2711","","","","","0000-00-00"
"D2707","E1845","2015-12-10",30,257,"PstI_MluCI",40,1.438,0.058,"D1","D2704-D2711","","","","","0000-00-00"
"D2708","E1850","2015-12-10",30,257,"PstI_MluCI",40,0.916,0.037,"E1","D2704-D2711","","","","","0000-00-00"
"D2709","E1851","2015-12-10",30,302,"PstI_MluCI",40,1.756,0.07,"F1","D2704-D2711","","","","","0000-00-00"
"D2710","E1852","2015-12-10",30,136,"PstI_MluCI",40,0.48,0.019,"G1","D2704-D2711","","","","","0000-00-00"
"D2711","E1854","2015-12-10",30,352,"PstI_MluCI",40,0.95,0.038,"H1","D2704-D2711","","","","","0000-00-00"
"D2712","E2354","2016-03-05",30,3381,"PstI_MluCI",40,29.554,1.182,"A1","D2712-D2807","","","","","0000-00-00"
"D2713","E2355","2016-03-05",30,2731,"PstI_MluCI",40,27.746,1.11,"B1","D2712-D2807","","","","","0000-00-00"
"D2714","E2356","2016-03-05",30,3499,"PstI_MluCI",40,44.141,1.766,"C1","D2712-D2807","","","","","0000-00-00"
"D2715","E2357","2016-03-05",30,1935,"PstI_MluCI",40,10.111,0.404,"D1","D2712-D2807","","","","","0000-00-00"
"D2716","E2358","2016-03-05",30,924,"PstI_MluCI",40,7.313,0.293,"E1","D2712-D2807","","","","","0000-00-00"
"D2717","E2359","2016-03-05",30,3897,"PstI_MluCI",40,40.745,1.63,"F1","D2712-D2807","","","","","0000-00-00"
"D2718","E2360","2016-03-05",30,4045,"PstI_MluCI",40,40.453,1.618,"G1","D2712-D2807","","","","","0000-00-00"
"D2719","E2361","2016-03-05",30,4094,"PstI_MluCI",40,39.843,1.594,"H1","D2712-D2807","","","","","0000-00-00"
"D2720","E2362","2016-03-05",30,854,"PstI_MluCI",40,15.978,0.639,"A2","D2712-D2807","","","","","0000-00-00"
"D2721","E2363","2016-03-05",30,1243,"PstI_MluCI",40,22.854,0.914,"B2","D2712-D2807","","","","","0000-00-00"
"D2722","E2364","2016-03-05",30,3648,"PstI_MluCI",40,75.348,3.014,"C2","D2712-D2807","","","","","0000-00-00"
"D2723","E2365","2016-03-05",30,1190,"PstI_MluCI",40,22.566,0.903,"D2","D2712-D2807","","","","","0000-00-00"
"D2724","E2366","2016-03-05",30,3962,"PstI_MluCI",40,101.945,4.078,"E2","D2712-D2807","","","","","0000-00-00"
"D2725","E2367","2016-03-05",30,1761,"PstI_MluCI",40,34.133,1.365,"F2","D2712-D2807","","","","","0000-00-00"
"D2726","E2368","2016-03-05",30,3501,"PstI_MluCI",40,82.721,3.309,"G2","D2712-D2807","","","","","0000-00-00"
"D2727","E2369","2016-03-05",30,621,"PstI_MluCI",40,12.523,0.501,"H2","D2712-D2807","","","","","0000-00-00"
"D2728","E2370","2016-03-05",30,3933,"PstI_MluCI",40,38.205,1.528,"A3","D2712-D2807","","","","","0000-00-00"
"D2729","E2371","2016-03-05",30,4466,"PstI_MluCI",40,35.757,1.43,"B3","D2712-D2807","","","","","0000-00-00"
"D2730","E2372","2016-03-05",30,479,"PstI_MluCI",40,2.189,0.088,"C3","D2712-D2807","","","","","0000-00-00"
"D2731","E2373","2016-03-05",30,3436,"PstI_MluCI",40,23.076,0.923,"D3","D2712-D2807","","","","","0000-00-00"
"D2732","E2374","2016-03-05",30,791,"PstI_MluCI",40,4.804,0.192,"E3","D2712-D2807","","","","","0000-00-00"
"D2733","E2375","2016-03-05",30,3571,"PstI_MluCI",40,18.855,0.754,"F3","D2712-D2807","","","","","0000-00-00"
"D2734","E2376","2016-03-05",30,1092,"PstI_MluCI",40,8.196,0.328,"G3","D2712-D2807","","","","","0000-00-00"
"D2735","E2377","2016-03-05",30,1662,"PstI_MluCI",40,9.531,0.381,"H3","D2712-D2807","","","","","0000-00-00"
"D2736","E2378","2016-03-05",30,3728,"PstI_MluCI",40,106.122,4.245,"A4","D2712-D2807","","","","","0000-00-00"
"D2737","E2379","2016-03-05",30,911,"PstI_MluCI",40,18.026,0.721,"B4","D2712-D2807","","","","","0000-00-00"
"D2738","E2380","2016-03-05",30,3481,"PstI_MluCI",40,89.982,3.599,"C4","D2712-D2807","","","","","0000-00-00"
"D2739","E2381","2016-03-05",30,1596,"PstI_MluCI",40,23.758,0.95,"D4","D2712-D2807","","","","","0000-00-00"
"D2740","E2382","2016-03-05",30,2638,"PstI_MluCI",40,49.13,1.965,"E4","D2712-D2807","","","","","0000-00-00"
"D2741","E2383","2016-03-05",15,2609,"PstI_MluCI",40,62.109,2.484,"F4","D2712-D2807","","","","","0000-00-00"
"D2742","E2384","2016-03-05",30,1677,"PstI_MluCI",40,19.835,0.793,"G4","D2712-D2807","","","","","0000-00-00"
"D2743","E2385","2016-03-05",30,1057,"PstI_MluCI",40,18.84,0.754,"H4","D2712-D2807","","","","","0000-00-00"
"D2744","E2386","2016-03-05",30,3809,"PstI_MluCI",40,123.606,4.944,"A5","D2712-D2807","","","","","0000-00-00"
"D2745","E2387","2016-03-05",30,1209,"PstI_MluCI",40,20.927,0.837,"B5","D2712-D2807","","","","","0000-00-00"
"D2746","E2388","2016-03-05",30,3653,"PstI_MluCI",40,43.634,1.745,"C5","D2712-D2807","","","","","0000-00-00"
"D2747","E2389","2016-03-05",30,1124,"PstI_MluCI",40,8.231,0.329,"D5","D2712-D2807","","","","","0000-00-00"
"D2748","E2390","2016-03-05",15,2653,"PstI_MluCI",40,25.368,1.015,"E5","D2712-D2807","","","","","0000-00-00"
"D2749","E2391","2016-03-05",30,775,"PstI_MluCI",40,3.872,0.155,"F5","D2712-D2807","","","","","0000-00-00"
"D2750","E2392","2016-03-05",30,760,"PstI_MluCI",40,3.497,0.14,"G5","D2712-D2807","","","","","0000-00-00"
"D2751","E2393","2016-03-05",30,4564,"PstI_MluCI",40,41.807,1.672,"H5","D2712-D2807","","","","","0000-00-00"
"D2752","E2394","2016-03-05",30,2230,"PstI_MluCI",40,39.622,1.585,"A6","D2712-D2807","","","","","0000-00-00"
"D2753","E2395","2016-03-05",30,1550,"PstI_MluCI",40,28.658,1.146,"B6","D2712-D2807","","","","","0000-00-00"
"D2754","E2396","2016-03-05",30,498,"PstI_MluCI",40,5.757,0.23,"C6","D2712-D2807","","","","","0000-00-00"
"D2755","E2397","2016-03-05",30,3072,"PstI_MluCI",40,53.836,2.153,"D6","D2712-D2807","","","","","0000-00-00"
"D2756","E2398","2016-03-05",30,3801,"PstI_MluCI",40,72.218,2.889,"E6","D2712-D2807","","","","","0000-00-00"
"D2757","E2399","2016-03-05",30,1209,"PstI_MluCI",40,4.534,0.181,"F6","D2712-D2807","","","","","0000-00-00"
"D2758","E2400","2016-03-05",30,396,"PstI_MluCI",40,4.222,0.169,"G6","D2712-D2807","","","","","0000-00-00"
"D2759","E2401","2016-03-05",30,1212,"PstI_MluCI",40,17.158,0.686,"H6","D2712-D2807","","","","","0000-00-00"
"D2760","E2402","2016-03-05",15,2623,"PstI_MluCI",40,31.083,1.243,"A7","D2712-D2807","","","","","0000-00-00"
"D2761","E2403","2016-03-05",30,1006,"PstI_MluCI",40,5.751,0.23,"B7","D2712-D2807","","","","","0000-00-00"
"D2762","E2404","2016-03-05",30,2467,"PstI_MluCI",40,16.852,0.674,"C7","D2712-D2807","","","","","0000-00-00"
"D2763","E2405","2016-03-05",30,1743,"PstI_MluCI",40,9.576,0.383,"D7","D2712-D2807","","","","","0000-00-00"
"D2764","E2406","2016-03-05",30,2490,"PstI_MluCI",40,16.232,0.649,"E7","D2712-D2807","","","","","0000-00-00"
"D2765","E2407","2016-03-05",30,3999,"PstI_MluCI",40,24.569,0.983,"F7","D2712-D2807","","","","","0000-00-00"
"D2766","E2408","2016-03-05",30,2137,"PstI_MluCI",40,13.186,0.527,"G7","D2712-D2807","","","","","0000-00-00"
"D2767","E2409","2016-03-05",30,1470,"PstI_MluCI",40,6.759,0.27,"H7","D2712-D2807","","","","","0000-00-00"
"D2768","E2410","2016-03-05",30,2288,"PstI_MluCI",40,42.767,1.711,"A8","D2712-D2807","","","","","0000-00-00"
"D2769","E2411","2016-03-05",30,3275,"PstI_MluCI",40,53.428,2.137,"B8","D2712-D2807","","","","","0000-00-00"
