"","digest_id","ligation_id","date","DNA","vol_in","water","destloc","destwell","sourcewell","sourceloc","run"
"134","D3278","L3159","2016-09-18",200,4.41,17.8,"P13","E11","C5","P9",2
"135","D3279","L3170","2016-09-18",200,1.5,20.7,"P13","H12","D5","P9",2
"136","D3280","L3117","2016-09-18",75,9.05,13.1,"P13","C6","E5","P9",2
"137","D3281","L3066","2016-09-18",40,11.4,10.8,"P12","H11","F5","P9",2
"138","D3282","L3156","2016-09-18",200,5.3,16.9,"P13","B11","G5","P9",2
"139","D3283","L3118","2016-09-18",75,8.9,13.3,"P13","D6","H5","P9",2
"140","D3284","L3127","2016-09-18",200,20.3,1.9,"P13","E7","A6","P9",2
"141","D3287","L3136","2016-09-18",200,14.7,7.5,"P13","F8","D6","P9",2
"142","D3288","L3116","2016-09-18",75,9.16,13,"P13","B6","E6","P9",2
"143","D3289","L3042","2016-09-18",40,14.9,7.3,"P12","H8","F6","P9",2
"144","D3290","L2984","2016-09-18",10,13.4,8.8,"P12","F1","G6","P9",2
"145","D3292","L3008","2016-09-18",10,6.1,16.1,"P12","F4","A7","P9",2
"146","D3293","L3169","2016-09-18",200,2.81,19.4,"P13","G12","B7","P9",2
"147","D3294","L3137","2016-09-18",200,14.7,7.5,"P13","G8","C7","P9",2
"148","D3295","L3138","2016-09-18",200,14.2,8,"P13","H8","D7","P9",2
"149","D3296","L3112","2016-09-18",75,11.2,11,"P13","F5","E7","P9",2
"150","D3297","L3132","2016-09-18",200,17.1,5.1,"P13","B8","F7","P9",2
"151","D3298","L3140","2016-09-18",200,12.6,9.6,"P13","B9","G7","P9",2
"152","D3299","L3151","2016-09-18",200,7.47,14.7,"P13","E10","H7","P9",2
"153","D3300","L3058","2016-09-18",40,12.4,9.8,"P12","H10","A8","P9",2
"154","D3301","L3024","2016-09-18",10,4.74,17.5,"P12","F6","B8","P9",2
"155","D3302","L3111","2016-09-18",75,13.1,9.1,"P13","E5","C8","P9",2
"156","D3303","L3113","2016-09-18",75,11.1,11.1,"P13","G5","D8","P9",2
"157","D3304","L3133","2016-09-18",200,16.5,5.7,"P13","C8","E8","P9",2
"158","D3305","L3011","2016-09-18",10,5.94,16.3,"P12","A5","F8","P9",2
"159","D3306","L3152","2016-09-18",200,6.25,15.9,"P13","F10","G8","P9",2
"160","D3307","L3147","2016-09-18",200,8.8,13.4,"P13","A10","H8","P9",2
"161","D3308","L3131","2016-09-18",200,17.8,4.4,"P13","A8","A9","P9",2
"162","D3309","L3048","2016-09-18",40,13.9,8.3,"P12","F9","B9","P9",2
"163","D3310","L3123","2016-09-18",200,21.1,1.1,"P13","A7","C9","P9",2
"164","D3311","L3083","2016-09-18",75,17.2,5,"P13","A2","D9","P9",2
"165","D3312","L3077","2016-09-18",75,18.8,3.4,"P13","C1","E9","P9",2
