"","ligation_id","digest_id","DNA","vol_in","water","date","barcode","pool"
"177","L3161","D3324",200,4.22,18,2016-09-21,39,"P072"
"189","L3162","D3336",200,4.15,18,2016-09-21,40,"P072"
"119","L3163","D3259",200,3.96,18.2,2016-09-21,41,"P072"
"190","L3164","D3337",200,3.73,18.5,2016-09-21,42,"P072"
"120","L3165","D3260",200,3.42,18.8,2016-09-21,43,"P072"
"181","L3166","D3328",200,3.37,18.8,2016-09-21,44,"P072"
"185","L3167","D3332",200,3.24,19,2016-09-21,45,"P072"
"187","L3168","D3334",200,3.15,19.1,2016-09-21,46,"P072"
"146","L3169","D3293",200,2.81,19.4,2016-09-21,47,"P072"
"135","L3170","D3279",200,1.5,20.7,2016-09-21,48,"P072"
